GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projet sur les techniques de test,fr.univavignon.pokedex.api,Team,0,21,0,0,0,4,0,1,0,1
Projet sur les techniques de test,fr.univavignon.pokedex.api,PokemonFactory,5,49,0,0,3,8,0,3,0,3
Projet sur les techniques de test,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
Projet sur les techniques de test,fr.univavignon.pokedex.api,PokemonMetadataProvider,0,37,0,4,0,11,0,5,0,3
Projet sur les techniques de test,fr.univavignon.pokedex.api,Pokedex,14,65,1,3,2,15,3,7,2,6
Projet sur les techniques de test,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
Projet sur les techniques de test,fr.univavignon.pokedex.api,PokemonTrainerFactory,0,23,0,0,0,6,0,2,0,2
Projet sur les techniques de test,fr.univavignon.pokedex.api,PokedexFactory,0,9,0,0,0,3,0,2,0,2
Projet sur les techniques de test,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
Projet sur les techniques de test,fr.univavignon.pokedex.api,PokemonComparators,0,41,0,0,0,8,0,3,0,3
Projet sur les techniques de test,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
